ID do Funcionário,Pesquisa de Satisfação,Feedback de Funcionários
32aa69d6-ba6c-4fff-aded-e62b85de7ef2,"5,7",Sem Resposta
51bd059d-e188-4e11-ae48-cea254ba19fc,"7,8",Pick particularly guess off necessary without food.
43acf0b9-4ced-4e7f-a461-f224fb4df31b,"7,1",Sem Resposta
756dc645-2064-43a5-8a6b-58544aa99e3c,"4,6",Sem Resposta
184bc9ac-5ae3-4f03-a7bb-1e4553c99b89,"3,4",Man than military admit toward human bit Mr.
28ead614-7f70-484f-ad25-735a432a4798,"2,0",Student within light kind action drive people skin hair.
4d0568bf-02b4-4211-be03-423e364831cd,"2,1",Clearly goal ten one organization mention own respond save.
42b3a60d-7959-4267-ba9e-76d66f76082c,"1,6",All budget personal perform sit vote law positive current level structure source from.
5a0e60a3-8cbd-4eb7-adaf-24d04dd1de3f,"1,5",Sem Resposta
73cdd2a7-0665-4b5e-8ef7-66d223ef7af6,"2,4",Tv clearly teach already per media else here inside structure deal.
71e4a998-8ff3-471c-bd58-13a53aa0a1f2,"9,6",Enter meeting purpose career open much.
aed0891b-a56f-420d-b02c-85ff29c2030d,"3,9",Piece position still school subject series.
62ea2c0e-ba66-4fe6-955a-a1708fe75296,"2,2",Real popular individual kind second employee serve.
b4aa28e1-9f5d-46fe-a1c5-567b86996c69,"1,6",Control quickly data argue sure beat whatever.
7b794cc9-e321-442e-9704-8ee0bfb0859a,"3,4",Sem Resposta
381e0fcc-7f87-4bee-9c2d-bb215186d535,"5,7",She consumer visit career bad between now.
b7ab9397-0d83-4b5e-b8d7-3a360417cfb5,"1,6",Sem Resposta
8a3783ee-f130-42a6-8d28-bb24348af1cb,"8,5",Sem Resposta
8335aa92-cafa-46ff-a41e-ecf4668391c6,"5,1",Sem Resposta
3e4f9923-78cf-40e8-9144-117c6bcf0cfd,"7,1",Daughter move matter hand fact middle word should class.
8b920390-815d-43c6-bcad-3c29d6d43f87,"9,7",Sem Resposta
c6ecfd2e-a6b5-4412-833b-51451b96955e,"5,5",Sem Resposta
2c7c059b-ab03-4468-b838-0143cd2b8a94,"7,3",Sem Resposta
f41b5db1-d4b4-404d-b543-72df845640a4,"7,8",They rate southern alone audience computer can soon central.
25f4a292-539d-4a94-9ef5-4d74ec72c4fc,"3,3",Sem Resposta
35ed7148-a33d-432b-863d-f4a99a729763,"5,7",Sem Resposta
49519435-7147-4701-a26b-fcd8dbab22a9,"2,8",Sem Resposta
6e8307e7-4063-443b-9640-ef1964adb9b0,"7,0",Work plan less body floor move alone risk his wife arrive sing.
5c0972d7-c9f8-4654-ae3e-27f1755f844b,"2,8",Person any you player teacher through five organization event.
e1f3e335-6dc3-4441-a9a9-e6a4f4640cf8,"3,2",Common range add successful point cost entire author move former force rather spend letter.
01bc8e81-9dcb-41d1-bb67-581fd3262231,"8,0",Throughout get seat he total then.
1f07c442-6182-4f79-9c61-51d7d2308f7e,"7,1",Sem Resposta
da205815-5585-4da1-9734-a8b657309d5e,"5,7",Sem Resposta
03d17145-d1f9-4237-835e-f0ce462d8d0a,"1,6",Sem Resposta
22429e96-608c-4f4e-a667-b0a3bf7d6326,"4,8",Sem Resposta
3524f175-c88c-483e-a650-37cb29d14d33,"8,5",Sem Resposta
cced0664-4561-4172-bbad-fcd0dc81d169,"9,2",Drug pay pretty but worker game deep head range face meet billion education.
1787ace0-c47c-4d5a-9bb4-452f26722ec2,"7,6",Sem Resposta
b1f0a137-8893-4c07-afa1-6f3c4726cad1,"8,5",Sem Resposta
39d12d84-9f24-4eee-aa92-4e4e170f7b1c,"2,2",Attorney on church government which medical since get.
ac4d7f01-69bc-455f-9989-18e6dee9de9d,"1,4",American radio instead price likely employee face home hard though Congress in.
03d49e23-1072-4d0e-b7e4-9ce1ba3e41f1,"8,9",Green share medical news specific everyone arrive.
5e1329d8-944e-48ba-bbde-9e70036fc253,"5,1",Sem Resposta
1662aa71-2c4f-4ce9-a9cc-25aa06bbcd0e,"3,5",Sem Resposta
fc045401-e687-4229-8a08-baabf491559e,"4,4",Maintain relationship prepare easy marriage analysis newspaper than chair would future book.
556a0363-eeaa-4afb-bd6a-4af3da29c2b2,"2,9",Sem Resposta
ab49c8e0-9faa-4eef-b8b8-3b041b316c01,"5,3",Sem Resposta
4b80b60b-63be-447c-a6e8-01761c38dc6b,"2,5",Sem Resposta
f77d83d6-2558-4ac4-9cef-1f70d8a78c62,"7,6",Itself drop adult again American message bill garden information into attack financial remember.
2db93bcc-b19a-4a78-938e-c0d28e7766a5,"1,7",Sem Resposta
df55b8b0-7721-465f-a473-9df1f54dffd9,"9,2",Sem Resposta
a4454a85-048e-4fcb-a21c-b879413701d2,"4,8",Sem Resposta
d2fd6949-9c5f-4922-be35-7b9957bb2f31,"4,0",Sem Resposta
a6b4edfb-bc68-4a11-a57f-8ff6b84f74ad,"1,3",Sem Resposta
3dbf0dfe-862d-4b5d-803b-89e0cef04405,"8,8",Sem Resposta
7196d876-ef37-489a-90c6-ca916706299b,"3,9",Sem Resposta
bf5712b1-35a7-4ece-afea-0ad71fc11b24,"7,5",Sem Resposta
bf48aee2-1c9b-402d-8e47-357bb4e026c5,"8,9",Feeling must dinner police meeting create what clear ok consumer team popular house.
7883d8a4-4bb9-413c-87fc-26ecd821f4ef,"2,8",Story also again newspaper agency yourself section technology region whether.
3c4fa0ce-e993-4e50-9594-92673a991687,"8,4",Degree away design apply thank provide report happen.
12f76fa7-f4bc-4135-a5dc-763107f9d3ca,"5,1",Sem Resposta
b4e770a9-b4ca-4cb0-8fd0-2ecc7fd9099c,"9,6",Central nation control field they bag language position.
66b6d5f3-83d4-4b00-bb1f-3f247270eca9,"6,7",Early decade real be part product have near.
519e5159-5887-4b1a-8b56-2d6271ee4024,"1,4",Sem Resposta
db15886e-0984-4ef0-9edd-910545f5fb0a,"2,4",Sem Resposta
f050da0f-7995-4308-b667-858b0ac4f8d5,"7,7",Sem Resposta
d6b90ead-931c-4ad3-ac7b-cd34d30b0f65,"4,1",Sem Resposta
487ac9d0-082a-4d7b-bdc4-ca4f829b1645,"8,3",Another run off onto type station employee piece item.
2cbc0556-fbf8-43cf-b3ea-8d1967e76f09,"6,7",Sem Resposta
00f5dbc9-1737-4684-b614-ca2d32778c77,"9,3",Build couple understand pressure people civil could decision across believe stand yard source.
17d449b8-07e1-488d-a37c-2467b66e3d8e,"6,1",Sem Resposta
8b2bef8b-2dbd-4925-9ad4-5eb30dfa949b,"8,1",Sem Resposta
