"Nacionalidade","Estado","Cidade","Bairro","Trabalha","Carteira Assinada","Tipo de Estabelecimento","Sexo","Escolaridade","Raça","Data de Nascimento","Pontuação","Percentual de Conclusão do Canal","Data de Conclusão do Canal"
"Brasil","Minas Gerais","Marmelópolis","SERRA DOS RAMOS","","","Gestor de Turismo Privado","Feminino","Superior incompleto","Branca","02-06-1981","429","100.00","2018-11-13 01:14:39.587"
"Brasil","Minas Gerais","Ouro Preto","MORRO DO CRUZEIRO","","","Estudante","Feminino","Superior incompleto","Branca","24-10-1993","429","100.00","2018-12-04 16:11:49.322"
"Brasil","São Paulo","São Caetano do Sul","SANTA PAULA","","","Estudante ","Feminino","Superior","Branca","21-09-2000","429","100.00","2018-10-26 21:28:00.099"
"Brasil","Minas Gerais","Belo Horizonte","CORAÇÃO EUCARÍSTICO","","","Agencia de Viagens","Feminino","Superior","Parda","04-04-1996","429","100.00","2018-12-28 10:39:06.421"
"Brasil","Paraná","Cornélio Procópio","CENTRO","","","Gestor de Turismo Privado","Feminino","Superior","Branca","10-10-1978","429","100.00","2018-06-30 14:57:04.26"
"Brasil","Ceará","São Gonçalo do Amarante","TAÍBA","","","Consultora em Turism","Feminino","Superior","Branca","15-01-1978","429","100.00","2018-12-26 19:49:41.313"
"Brasil","Pernambuco","Igarassu","CRUZ DE REBOÇAS ","","","Gestor de Turismo Público","Feminino","Superior","Branca","13-12-1973","429","100.00","2018-11-30 13:16:06.336"
"Brasil","Rio de Janeiro","Rio de Janeiro","MADUREIRA","","","guia","Feminino","Superior","Branca","","429","100.00","2018-12-31 06:29:20.637"
"Brasil","Rio Grande do Sul","Venâncio Aires","-","","","-","Feminino","Superior","Branca","11-03-1993","429","100.00","2018-12-18 17:40:08.112"
"Brasil","Bahia","Cairu","MORRO DE SÃO PAULO","","","Gestor de Turismo Privado","Feminino","Superior","Branca","23-11-1990","429","100.00","2018-12-20 18:00:01.631"
"Brasil","Santa Catarina","Fraiburgo","CENTRO","","","Gestor de Turismo Público","Feminino","Superior","Branca","04-09-1971","429","100.00","2018-12-16 10:47:46.058"
"Brasil","Rio Grande do Norte","Natal","ROBERTO FREIRE","","","Estudante","Feminino","Superior","Parda","24-01-1991","429","100.00","2018-12-31 16:11:15.636"
"Brasil","São Paulo","São José dos Campos","JD INDUSTRIAS","","","Guia de turismo","Feminino","Superior","Parda","01-07-1960","429","100.00","2018-11-22 23:48:48.148"
"Brasil","São Paulo","São Paulo","VILA BRASILÂNDIA","","","Estudante","Feminino","Superior","Preta","17-05-1994","429","100.00","2018-06-24 22:13:09.57"
"Brasil","Rio Grande do Sul","Picada Café","Jammerthal","","","Industria","Feminino","Medio","Branca","14-05-1999","429","100.00","2018-07-20 21:12:08.507"
"Brasil","Rio Grande do Sul","São Nicolau","CENTRO","","","Gestor de Turismo Privado","Feminino","Medio","Branca","23-04-1980","429","100.00","2018-06-22 17:04:54.739"
"Brasil","Ceará","Fortaleza","PRAIA DE IRACEMA","","","Servidorpúblico","Feminino","Superior incompleto","Parda","06-12-1992","429","100.00","2018-09-20 23:57:25.625"
"Brasil","Rio de Janeiro","Rio de Janeiro","VILA ISABEL","","","Gestor de Turismo Privado","Masculino","Superior incompleto","Branca","27-02-1974","429","100.00","2018-10-26 18:41:11.159"
"Brasil","Pernambuco","Buíque","CENTRO","","","Turismo urbano","Masculino","Medio","Preta","02-01-1991","429","100.00","2018-09-06 22:06:10.974"
"Brasil","Ceará","Amontada","GARÇAS","","","Hotelaria","Masculino","Superior","Branca","20-11-1996","429","100.00","2018-10-03 14:35:48.608"
"Brasil","São Paulo","Ubatuba","CENTRO","","","Gestor de Turismo Público","Masculino","Superior","Parda","16-03-1966","429","100.00","2018-11-02 12:39:55.829"
"Brasil","Rio Grande do Sul","São Borja","CENTRO","","","Militar","Masculino","Superior","Branca","01-04-1975","429","100.00","2018-10-07 14:14:41.12"
"Brasil","Amazonas","Manaus","CHAPADA","","","Estudante de Turismo","Feminino","Superior incompleto","Parda","28-02-1986","429","100.00","2018-06-19 20:51:11.515"
"Brasil","São Paulo","Cotia","CAUCAIA DO ALTO","","","Estudante","Masculino","Superior incompleto","Parda","12-08-1993","429","100.00","2018-12-20 18:26:25.608"
"Brasil","Rio Grande do Sul","Carlos Barbosa","LINHA DOZE","","","Gestor de Turismo Privado","Feminino","Superior","Branca","16-06-1988","429","100.00","2018-09-25 16:36:05.656"
"Brasil","Santa Catarina","Abdon Batista","SANTO ANTÔNIO","","","Gestor de Turismo Público","Feminino","Medio","Branca","15-07-1991","429","100.00","2018-11-01 16:04:08.228"
"Brasil","Rio Grande do Sul","Maçambara","CENTRO","","","Estagiaria","Feminino","Superior incompleto","Branca","27-01-1999","429","100.00","2018-11-22 15:46:55.541"
"Brasil","Rio de Janeiro","Rio de Janeiro","REALENGO","","","Estudante de Turismo","Feminino","Superior incompleto","Branca","08-09-1995","429","100.00","2018-11-19 20:55:58.934"
"Brasil","Sergipe","Canindé de São Francisco","CENTRO","","","MONITORA DE MUSEU","Feminino","Superior","Preta","26-10-1988","429","100.00","2018-07-30 17:52:11.312"
"Brasil","Minas Gerais","Sarzedo","BRASÍLIA","","","professora","Feminino","Superior","Preta","21-04-1982","429","100.00","2018-09-23 10:08:25.015"
"Brasil","Bahia","Santana","SÃO JOÃO","","","Gestor de Turismo Público","Masculino","Superior incompleto","Parda","22-09-1975","429","100.00","2018-12-27 21:15:42.013"
"Brasil","Roraima","Boa Vista","CENTRO","","","Gestor de Turismo Público","Feminino","Medio","Parda","25-12-1991","429","100.00","2018-07-07 18:31:22.546"
"Brasil","Amazonas","Manaus","SANTO ANTÔNIO","","","Estudante","Feminino","Superior incompleto","Branca","30-05-1989","429","100.00","2018-12-10 04:09:00.668"
"Brasil","Pará","Soure","CENTRO","","","Gestor de Turismo Público","Masculino","Superior","Parda","20-03-1981","429","100.00","2018-10-08 16:28:26.039"
"Brasil","São Paulo","São Paulo","LIBERDADE","","","Estou fora do mercad","Feminino","Superior","Branca","04-09-1971","429","100.00","2018-12-16 16:10:50.084"
"Brasil","Rio de Janeiro","Rio de Janeiro","GUARATIBA","","","Gestor de Turismo Privado","Masculino","Medio","Parda","12-10-1987","429","100.00","2018-10-07 17:24:43.432"
"Brasil","Espírito Santo","Marataízes","CENTRO","","","Gestor de Turismo Privado","Masculino","Superior","Branca","14-06-1962","429","100.00","2018-09-13 19:49:26.128"
"Brasil","São Paulo","Pinhalzinho","SÃO PAULO","","","Gestor de Turismo Público","Masculino","Superior","Branca","10-06-1996","429","100.00","2018-06-20 01:25:42.86"
"Brasil","Sergipe","Aracaju","ATALAIA","","","Gestor de Turismo Privado","Masculino","Superior","Branca","09-11-1959","429","100.00","2018-11-14 02:44:33.557"
"Brasil","Rio de Janeiro","São João de Meriti","JARDIM OLAVO BILAC","","","Gestor de Turismo Privado","Masculino","Medio","Branca","09-06-1965","429","100.00","2018-08-27 22:38:32.398"
"Brasil","São Paulo","Ribeirão Preto","INDUSTRIAL","","","Almoxarife","Masculino","Medio","Branca","08-05-1973","429","100.00","2018-09-14 20:09:29.846"
"Brasil","Goiás","Aruanã","SETOR CENTRAL","","","Gestor de Turismo Privado","Masculino","Superior","Parda","02-09-1962","429","100.00","2018-12-30 10:58:53.691"
"Brasil","Piauí","Luís Correia","ALTO BONITO","","","Gestor de Turismo Privado","Masculino","Medio","Parda","17-04-1978","429","100.00","2018-12-10 16:56:30.53"
"Brasil","Paraná","Primeiro de Maio","CENTRO","","","Planejamento ","Feminino","Superior","Parda","13-11-1967","429","100.00","2018-08-05 21:45:41.107"
"Brasil","Rio de Janeiro","Rio de Janeiro","RECREIO DOS BANDEIRANTES","","","Guia de turismo","Masculino","Superior","Parda","08-03-1963","429","100.00","2018-12-12 14:20:42.091"
"Brasil","Distrito Federal","Brasília","GAMA","","","Professor","Masculino","Superior","Branca","18-12-1978","429","100.00","2018-11-05 21:34:47.69"
"Brasil","Santa Catarina","Penha","Centro","","","Gestor de Turismo Público","Masculino","Superior","Branca","15-07-1958","429","100.00","2018-06-23 15:37:32.48"
"Brasil","Rio de Janeiro","Teresópolis","VALE DO PARAÍSO","","","Militar reformado","Masculino","Superior","Parda","20-03-1965","429","100.00","2018-10-26 20:00:49.603"
"Brasil","Rio Grande do Sul","Venâncio Aires","CENTRO","","","OUTROS","Masculino","Medio","Branca","23-08-1999","429","100.00","2018-11-07 18:10:52.302"
"Brasil","São Paulo","São Paulo","VILA NOVA CALEDÔNIA","","","Guia de Turismo","Masculino","Superior","Branca","02-10-1976","429","100.00","2018-09-07 21:40:47.429"
"Brasil","Bahia","Mucugê","CENTRO","","","Gestor de Turismo Privado","Masculino","Superior incompleto","Branca","08-11-1963","429","100.00","2018-12-03 19:26:36.156"
"Brasil","Rio Grande do Sul","Bento Gonçalves","CENTRO","","","Estudante","Feminino","Superior incompleto","Branca","11-08-1995","429","100.00","2018-12-17 17:48:14.349"
"Brasil","Minas Gerais","Novo Cruzeiro","CENTRO","","","Gestor de Turismo Público","Feminino","Superior","Parda","11-07-1985","429","100.00","2018-10-01 10:16:59.099"
"Brasil","São Paulo","São Paulo","JD ESTER YOLANDA","","","Gestor de Turismo Público","Feminino","Superior","Branca","04-04-1994","429","100.00","2018-12-19 21:04:41.042"
"Brasil","Mato Grosso do Sul","Nova Andradina","CENTRO","","","AUX. ADMINISTRATIVO ","Feminino","Superior","Branca","12-02-1991","429","100.00","2018-07-31 14:34:00.743"
"Brasil","Rio Grande do Sul","Santa Maria","Nonoai","","","Gestor de Turismo Privado","Feminino","Superior","Branca","06-10-1997","429","100.00","2018-07-01 02:34:48.557"
"Brasil","Rio Grande do Norte","Monte Alegre","COMUM ","","","Estudante","Feminino","Superior incompleto","Parda","17-11-1998","429","100.00","2018-06-25 14:15:45.141"
"Brasil","Distrito Federal","Brasília","SETOR BANCARIO ","","","Gestor de Turismo Privado","Feminino","Medio incompleto","Parda","01-07-2000","429","100.00","2018-11-22 08:50:52.379"
"Brasil","Rio de Janeiro","Rio de Janeiro","TAUÁ","","","Gestor de Turismo Privado","Feminino","Superior","Branca","18-12-1991","429","100.00","2018-08-15 11:05:43.419"
"Brasil","Rio de Janeiro","Saquarema","RIO DO LIMÃO","","","licenciat. turismo","Feminino","Superior incompleto","Branca","07-10-1952","429","100.00","2018-07-29 09:35:54.843"
"Brasil","São Paulo","São Roque","VILA IRENE","","","FUNCIONARIA PUBLICA","Feminino","Medio","Branca","28-03-1989","429","100.00","2018-07-16 19:11:49.736"
"Brasil","Rio de Janeiro","Nova Friburgo","CENTRO","","","Gestor de Turismo Privado","Feminino","Superior","Branca","31-10-1986","429","100.00","2018-11-07 16:37:08.121"
"Brasil","Rio de Janeiro","Rio de Janeiro","REALENGO","","","Turismólogo","Feminino","Superior","Branca","02-06-1996","429","100.00","2018-11-25 00:30:00.37"
"Brasil","Rio de Janeiro","Duque de Caxias","Vila Ideal","","","Estudante de Turismo","Feminino","Superior incompleto","Parda","20-09-1997","429","100.00","2018-09-10 16:18:20.057"
"Brasil","Espírito Santo","Vila Velha","NOVO MEXICO","","","Atleta Profissional","Masculino","Medio","Preta","27-04-1997","429","100.00","2018-11-05 08:47:19.933"
"Brasil","Mato Grosso","Lucas do Rio Verde","RIO VERDE","","","Gestor de Turismo Público","Masculino","Superior","Branca","11-03-1988","429","100.00","2018-12-10 16:41:28.612"
"Brasil","Piauí","Luís Correia","CENTRO ","","","Estudante","Feminino","Superior incompleto","Parda","30-07-1990","429","100.00","2018-12-25 22:06:04.979"
"Brasil","Minas Gerais","Araponga","CENTRO","","","Turismóloga","Feminino","Superior","Parda","22-10-1992","429","100.00","2018-12-16 11:08:36.351"
"Brasil","Rio de Janeiro","Rio de Janeiro","VILA MILITAR","","","reservas hoteis","Feminino","Superior incompleto","Parda","21-04-1996","429","100.00","2018-11-21 11:24:11.776"
"Brasil","Santa Catarina","Maravilha","INDUSTRIAL","","","Gestor de Turismo Privado","Feminino","Superior","Branca","18-07-1983","429","100.00","2018-11-30 09:57:46.108"
"Brasil","Pernambuco","Igarassu","SARAMANDAIA","","","Estudante","Feminino","Superior incompleto","Preta","08-04-1998","429","100.00","2018-12-05 17:33:57.074"
"Brasil","Rio de Janeiro","Rio de Janeiro","GAVEA","","","Administração ","Feminino","Superior","Branca","27-03-1992","429","100.00","2018-11-23 00:52:51.634"
"Brasil","Rio de Janeiro","São Gonçalo","VISTA ALEGRE","","","REP. MEDICAMENTOS","Masculino","Superior incompleto","Branca","25-04-1985","429","100.00","2018-12-18 23:52:37.554"
"Brasil","São Paulo","São Paulo","INTERLAGOS","","","Gestor de Turismo Privado","Masculino","Superior incompleto","Branca","20-11-1978","429","100.00","2018-07-12 14:38:02.343"
"Brasil","Pará","Santarém","ALTER DO CHÃO","","","Gestor de Turismo Privado","Masculino","Superior","Parda","29-03-1986","429","100.00","2018-12-07 18:21:03.911"
"Brasil","Minas Gerais","Conselheiro Lafaiete","PAULO VI ","","","guia de viagens ","Masculino","Medio","Branca","22-08-1997","429","100.00","2018-06-22 18:13:59.986"
"Brasil","Bahia","Mata de São João","PRAIA DO FORTE","","","Recepcionista ","Feminino","Superior incompleto","Preta","17-06-1975","429","100.00","2018-12-11 15:55:25.561"
"Brasil","Paraíba","Mari","SILVINO COSTA","","","Técnico Adm.","Masculino","Superior","Parda","17-05-1993","429","100.00","2018-12-09 17:30:37.564"
"Brasil","Minas Gerais","Barbacena","SÃO SEBASTIÃO","","","vendedora","Feminino","Superior","Parda","14-07-1995","429","100.00","2018-08-11 19:16:09.749"
"Brasil","Amazonas","Manaus","PARQUE SAO PEDRO","","","Gestor de Turismo Privado","Feminino","Superior","Branca","12-10-1996","429","100.00","2018-11-10 21:16:53.625"
"Brasil","Pará","Marituba","Novo Horizonte","","","Gestor de Turismo Público","Feminino","Superior incompleto","Parda","09-11-1993","429","100.00","2018-11-29 13:28:59.894"
"Brasil","Rio Grande do Sul","Pelotas","CENTRO","","","Turismóloga","Feminino","Superior","Branca","24-05-1993","429","100.00","2018-07-30 16:00:18.869"
"Brasil","Santa Catarina","Monte Carlo","POR DO SOL","","","área jurídica","Feminino","Superior","Branca","11-10-1986","429","100.00","2018-11-12 16:30:02.266"
"Brasil","Rio de Janeiro","Paty do Alferes","MONTE ALEGRE","","","Gestor de Turismo Público","Feminino","Superior incompleto","Branca","14-01-1997","429","100.00","2018-07-24 10:28:04.451"
"Brasil","São Paulo","Bauru","JARDIM TERRA BRANCA","","","Aposentado","Masculino","Superior","Branca","01-10-1960","429","100.00","2018-09-28 11:16:49.543"
"Brasil","Bahia","Abaíra","CENTRO","","","Gestor de Turismo Público","Masculino","Superior","Parda","24-12-1988","429","100.00","2018-11-20 22:59:45.515"
"Brasil","São Paulo","Rubinéia","CENTRO","","","Gestor de Turismo Público","Masculino","Medio","Parda","23-11-1946","429","100.00","2018-12-13 16:17:31.233"
"Brasil","São Paulo","Itanhaém","JD  IVOTY","","","Gestor de Turismo Público","Masculino","Superior","Branca","25-01-1974","429","100.00","2018-12-20 11:18:13.069"
"Brasil","Rio de Janeiro","Rio de Janeiro","SANTISSIMO","","","Gestor de Turismo Privado","Masculino","Superior","Branca","20-05-1958","429","100.00","2018-12-18 18:36:52.365"
"Brasil","São Paulo","Itapecerica da Serra","PARQUE PARAISO","","","CHEFE DE DIVISÃO","Masculino","Superior","Branca","28-02-1962","429","100.00","2018-09-15 09:21:17.033"
"Brasil","Rio de Janeiro","Quissamã","CANTO DA SAUDADE","","","Gestor de Turismo Público","Masculino","Medio","Branca","19-03-1965","429","100.00","2018-09-14 23:12:58.523"
"Brasil","Minas Gerais","Poços de Caldas","CENTRO","","","Gestor de Turismo Público","Feminino","Superior","Branca","05-04-1983","429","100.00","2018-08-29 22:25:33.403"
"Brasil","São Paulo","São Bernardo do Campo","BAETA NEVES","","","agente de viagens","Feminino","Superior","Branca","30-01-1983","429","100.00","2018-11-12 11:19:36.325"
"Brasil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro","","","Agente de viagens","Feminino","Superior incompleto","Amarela","18-05-1982","429","100.00","2018-06-27 20:22:50.483"
"Brasil","São Paulo","São Paulo","JARDIM MIRIAM","","","Estudante de Turismo","Feminino","Superior incompleto","Branca","12-03-1993","429","100.00","2018-11-20 18:52:11.976"
"Brasil","Rio de Janeiro","Rio de Janeiro","CAMPO GRANDE","","","Licenciado Turismo","Masculino","Superior","Parda","01-03-1967","429","100.00","2018-11-04 01:11:55.879"
"Brasil","Bahia","Barreiras","MORADA DA LUA","","","GUIA TURÍSTICO","Masculino","Superior","Parda","02-06-1990","429","100.00","2018-11-12 00:25:00.844"
"Brasil","Rio de Janeiro","Niterói","ICARAI","","","Gestor de Turismo Privado","Feminino","Superior","Branca","08-03-1972","429","100.00","2018-11-10 22:01:07.914"
"Brasil","Rio de Janeiro","Rio de Janeiro","CENTRO","","","Gestor de Turismo Privado","Feminino","Superior incompleto","Parda","27-03-1973","429","100.00","2018-12-24 11:05:12.943"
"Brasil","Paraná","Guaraniaçu","CENTRO","","","Gestor de Turismo Público","Feminino","Medio","Branca","02-02-1964","429","100.00","2018-11-07 09:28:23.457"
"Brasil","Piauí","Luís Correia","SANTA LUZIA","","","Bacharel em turismo","Feminino","Superior","Branca","08-05-1992","429","100.00","2018-07-18 20:59:31.582"
"Brasil","Paraná","Guaraniaçu","CENTRO","","","Gestor de Turismo Público","Masculino","Superior","Branca","24-04-1960","429","100.00","2018-11-19 15:05:13.19"
"Brasil","Rio Grande do Sul","São Leopoldo","CRISTO REI","","","Turismóloga","Feminino","Superior","Branca","07-02-1957","429","100.00","2018-12-27 00:01:50.135"
"Brasil","Paraná","Curitiba","BOQUEIRAO","","","Gestor de Turismo Privado","Masculino","Superior","Branca","17-07-1975","429","100.00","2018-12-17 17:10:49.248"
"Brasil","São Paulo","São Paulo","PARADA  DE NOVEMBRO","","","Particular","Masculino","Superior incompleto","Branca","16-04-1973","429","100.00","2018-11-14 22:50:34.642"
"Brasil","Paraná","Pitanga","PLANALTO","","","Gestor de Turismo Público","Masculino","Superior incompleto","Parda","22-04-1978","429","100.00","2018-09-06 21:46:41.761"
"Brasil","Rio Grande do Sul","Linha Nova","CENTRO","","","Gestor de Turismo Público","Masculino","Superior","Branca","13-07-1976","429","100.00","2018-08-14 16:21:21.272"
"Brasil","Rio Grande do Sul","Bagé","CENTRO ","","","Administradora","Feminino","Superior","Branca","05-07-1974","429","100.00","2018-07-15 18:15:11.529"
"Brasil","Rio de Janeiro","Cabo Frio","OGIVA","","","educação","Feminino","Superior","Branca","14-07-1959","429","100.00","2018-12-26 22:14:17.855"
"Brasil","Rio Grande do Norte","Touros","CENTRO","","","comercio","Feminino","Superior","Branca","21-04-1979","429","100.00","2018-08-04 21:21:20.042"
"Brasil","Rio Grande do Sul","Porto Alegre","Vila Ipiranga","","","Coordenadora de viag","Feminino","Superior","Branca","21-12-1977","429","100.00","2018-07-19 09:53:42.647"
"Brasil","São Paulo","São Paulo","VILA MONTE ALEGRE","","","Estudante","Feminino","Superior incompleto","Branca","02-10-1975","429","100.00","2018-10-02 14:02:20.322"
